Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.578598021,0.8005339215,0.9910504491,2.053248434,0.4193624804,-0.8832919919,1.332065827,-0.1504645285,-1.122890985,-0.8986026175,-1.229361389,-0.1130902956,-0.541157479,0.8771127502,2.287430505,0.7303742717,0.438478923,-0.08386655639,1.196518119,1.299881482,1.031689216
7.58057048,0.8009678078,0.9905813633,2.056206023,0.4188032571,-0.8795341968,1.334797058,-0.2320154159,-1.15650344,-0.9036526813,-1.268944775,-0.1664314965,-0.5600504133,0.8567149535,2.354213941,0.7507326523,0.4386904749,-0.06661168645,1.242770708,1.351021683,1.054819591
7.582277665,0.8014565777,0.9899552918,2.058975382,0.4183006656,-0.8760763621,1.33781358,-0.3205041444,-1.191548369,-0.9086046308,-1.309934886,-0.2243486261,-0.5840052948,0.8338584122,2.412283717,0.7683400324,0.4388625496,-0.05253674234,1.282990423,1.399994541,1.074616528
7.583705741,0.801993989,0.9891804045,2.061520745,0.4178613536,-0.8729636142,1.341075912,-0.4148133514,-1.227588047,-0.9133874566,-1.351797174,-0.286115503,-0.6127491183,0.8088192869,2.460882069,0.7829397629,0.439014742,-0.04185931886,1.316647791,1.44615196,1.090841725
7.58483943,0.8025731581,0.9882669569,2.063809352,0.4174911188,-0.8702366647,1.344541412,-0.5137212396,-1.264130024,-0.9179392746,-1.393975774,-0.3509062812,-0.6458845544,0.7819334997,2.4993651,0.7943507365,0.4391273678,-0.03470222102,1.343294242,1.488888965,1.103261286
7.585663333,0.8031866474,0.9872271465,2.065811782,0.417194829,-0.8679311714,1.348164812,-0.6159492019,-1.300692265,-0.9222039369,-1.435919127,-0.4178703221,-0.6829765598,0.7535563089,2.527236352,0.8024282274,0.439200721,-0.03115881556,1.362587239,1.527653694,1.111717732
7.58617434,0.8038265661,0.9860748466,2.067502413,0.4169763552,-0.8660774404,1.351898724,-0.7201763815,-1.336800488,-0.9261199711,-1.47707225,-0.4861445413,-0.7235577193,0.7240443139,2.544124665,0.8070487242,0.4392445885,-0.03129596708,1.374269786,1.561931908,1.116111674
7.586366375,0.8044846724,0.984825469,2.068859763,0.4168385219,-0.8646999214,1.355694416,-0.8250493552,-1.371968129,-0.9296376504,-1.516890058,-0.5548206479,-0.7670805248,0.6937915079,2.549805574,0.8081607754,0.4392484599,-0.03510138339,1.378193554,1.591281339,1.116378866
7.586235418,0.8051524789,0.9834957396,2.069866713,0.4167830806,-0.8638168066,1.359502454,-0.9292072851,-1.405730205,-0.9327145289,-1.554851281,-0.622994844,-0.812968018,0.6631983221,2.544210825,0.8057588417,0.4392118316,-0.04252033911,1.374318677,1.615329992,1.112523733
7.585773718,0.8058213642,0.9821034103,2.070510767,0.416810697,-0.863439886,1.363273324,-1.031304162,-1.437646921,-0.9353042918,-1.590454014,-0.6897859735,-0.8606291594,0.6326513024,2.527409893,0.7998601401,0.4391427559,-0.05347138725,1.362696085,1.633759913,1.104606255
