Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.554188962,0.799751479,0.989632473,2.026340566,0.425609878,-0.920522553,1.325367362,0.135859786,-0.947130826,-0.859090409,-1.008733379,0.072412638,-0.617659507,0.918463848,1.459589002,0.474340164,0.435785076,-0.344696544,0.623989474,0.855705701,0.737201149
7.557035361,0.799545389,0.990511782,2.029118066,0.424921059,-0.916382293,1.324579037,0.14961523,-0.952141418,-0.862197838,-1.016288584,0.08178302,-0.588845694,0.927180355,1.556628776,0.504698991,0.436115,-0.312520653,0.690806777,0.895798854,0.772740338
7.559932599,0.799411762,0.99125427,2.032071522,0.424209313,-0.912053582,1.324213425,0.151616214,-0.961183257,-0.865739046,-1.028432806,0.08347234,-0.564639264,0.932561038,1.655224645,0.535475428,0.436445661,-0.28042867,0.758769863,0.939638222,0.808691183
7.562840491,0.799352431,0.991849113,2.035162921,0.423483664,-0.907590088,1.3242768,0.141821254,-0.974154742,-0.869670558,-1.045022939,0.077436335,-0.545367296,0.934527305,1.754124367,0.566278403,0.436774532,-0.248830789,0.827008233,0.986668069,0.844590402
7.565723083,0.799368277,0.992287261,2.038352326,0.422753383,-0.903047482,1.324769779,0.120339421,-0.990906029,-0.873939704,-1.065855034,0.063724824,-0.531301645,0.933037427,1.852062292,0.596708453,0.43710206,-0.218137644,0.894642059,1.036284812,0.879976489
7.568544241,0.79945922,0.992561644,2.041598389,0.422027862,-0.898482681,1.325687342,0.087433237,-1.011228988,-0.878494337,-1.090671597,0.042498763,-0.522634464,0.9281054,1.947782111,0.626381757,0.437417582,-0.188735959,0.960795175,1.087854971,0.9143795
7.571267937,0.799624214,0.992667277,2.044858871,0.421316483,-0.893953117,1.327018836,0.043510446,-1.034872892,-0.883277222,-1.119160727,0.014015495,-0.519495677,0.919787555,2.040056761,0.654917635,0.437718154,-0.161003844,1.02460943,1.140714944,0.947349404
7.573861586,0.799861254,0.992601363,2.048091236,0.420628487,-0.88951608,1.328748061,-0.01088098,-1.061544242,-0.888224959,-1.150958966,-0.021375998,-0.521948287,0.908179006,2.127696598,0.681943211,0.438003668,-0.135304022,1.085253014,1.194177995,0.978455554
7.576287601,0.800167408,0.992363373,2.051253213,0.41997284,-0.885227939,1.330853498,-0.075056921,-1.090898063,-0.893273294,-1.185655538,-0.063226771,-0.52997024,0.893423937,2.20956871,0.70711069,0.438265143,-0.111964006,1.141930408,1.247548625,1.007279535
7.578490808,0.800538841,0.991955069,2.054303357,0.419358111,-0.881143423,1.333308548,-0.148166626,-1.122553668,-0.898360197,-1.222802838,-0.110996893,-0.543464822,0.875713671,2.284626059,0.73010615,0.43849601,-0.091276588,1.193902887,1.300137105,1.03343642
7.580461829,0.800970864,0.991380433,2.057201639,0.418792379,-0.877315116,1.336081732,-0.229366475,-1.156113535,-0.903412284,-1.261912736,-0.164090533,-0.562287334,0.855258896,2.351895424,0.750618073,0.438704271,-0.073524828,1.240488591,1.351249344,1.0565872
7.582165682,0.801457988,0.990645915,2.059909941,0.41828309,-0.873792102,1.339137621,-0.317561552,-1.191126632,-0.908368421,-1.302472712,-0.221798896,-0.58617894,0.832337631,2.410494522,0.768387582,0.438874415,-0.058922856,1.281071894,1.400219154,1.076410955
7.583593128,0.801994001,0.989759962,2.062392599,0.417836945,-0.870619919,1.342436721,-0.411636854,-1.227155564,-0.913158785,-1.343952046,-0.283397896,-0.614867672,0.807225337,2.459654897,0.783157513,0.439024819,-0.047690376,1.315118414,1.446397662,1.09266661
7.584734274,0.802572047,0.988733141,2.064616932,0.41745979,-0.86783964,1.345936412,-0.510373017,-1.26370614,-0.917721519,-1.385795708,-0.348064401,-0.647957312,0.780258262,2.498725544,0.79474464,0.439135741,-0.039953834,1.342174636,1.489178412,1.105117849
7.585575667,0.803184715,0.987577956,2.066553594,0.417156537,-0.865487307,1.349591399,-0.612493573,-1.300299884,-0.921999747,-1.427454035,-0.414950259,-0.685018217,0.751789336,2.527199747,0.802999292,0.439209115,-0.035813585,1.361892398,1.528007015,1.113607055
7.586110912,0.803824137,0.986308608,2.068177031,0.416931099,-0.863593593,1.353354279,-0.71667976,-1.336460495,-0.925932144,-1.468372208,-0.483190328,-0.72558206,0.722176874,2.544698869,0.807796968,0.439252998,-0.035338977,1.374008869,1.562366468,1.118030101
7.586328333,0.804482092,0.984940848,2.069465816,0.416786343,-0.862183302,1.35717628,-0.821579596,-1.371700411,-0.929469075,-1.508005553,-0.55187678,-0.769101637,0.691814779,2.550991675,0.809085034,0.439256614,-0.038520767,1.378370719,1.591812866,1.118321699
7.586219512,0.80515011,0.983491753,2.07040288,0.416724067,-0.861274977,1.361007917,-0.925833542,-1.405553897,-0.93256697,-1.545831696,-0.620108976,-0.815003427,0.661100803,2.546002983,0.806852889,0.439220868,-0.045311742,1.374931951,1.61596949,1.114484308
7.585774432,0.80581958,0.98197943,2.070975775,0.41674499,-0.860880748,1.364799601,-1.028093726,-1.437580097,-0.935180354,-1.581348836,-0.687002844,-0.862696566,0.630424207,2.529797716,0.80111831,0.439152215,-0.055631701,1.363739224,1.634517175,1.106575936
7.585006271,0.806481857,0.98042278,2.07117682,0.416848747,-0.861006083,1.368502378,-1.127033418,-1.467355506,-0.937277,-1.614089581,-0.751677679,-0.911546579,0.600190188,2.502588836,0.791965804,0.439045596,-0.069332052,1.344950344,1.647223095,1.094701325
7.583924507,0.807128377,0.978841241,2.07100316,0.417033908,-0.861649668,1.372068579,-1.221372638,-1.494493485,-0.938832524,-1.643630035,-0.813291437,-0.960913035,0.570793788,2.464741367,0.779520686,0.438902692,-0.086226639,1.318826339,1.653935037,1.079023744
7.582548134,0.807750768,0.977254475,2.070456816,0.417297992,-0.862803476,1.375452416,-1.309893811,-1.518643715,-0.939823536,-1.669584834,-0.871052197,-1.010157027,0.542607723,2.416749635,0.763938948,0.438729082,-0.10609679,1.285712227,1.654566691,1.05975597
7.580896608,0.808340964,0.975682109,2.069544626,0.417637501,-0.864452843,1.378610606,-1.391456824,-1.539495979,-0.940239833,-1.691623813,-0.92421608,-1.058634714,0.515997737,2.359240088,0.745429318,0.438525105,-0.128674325,1.246053921,1.649123851,1.03715464
7.578992836,0.808891316,0.974143477,2.068278116,0.418047963,-0.866576625,1.381502936,-1.465015528,-1.556785443,-0.94007832,-1.709470885,-0.972098745,-1.105713128,0.491307583,2.292965383,0.724239753,0.438291305,-0.15365441,1.200380588,1.637691142,1.011518545
7.576855283,0.809394695,0.972657363,2.066673348,0.418523991,-0.869147543,1.38409274,-1.529635225,-1.570299813,-0.93933938,-1.72290423,-1.014099313,-1.150793184,0.468846912,2.218786265,0.700638609,0.438035183,-0.180715498,1.149289589,1.62042099,0.983187617
7.574505873,0.809844594,0.971241765,2.064750686,0.419059349,-0.872132551,1.386347369,-1.584496858,-1.579876346,-0.938036887,-1.731767147,-1.049692699,-1.193296243,0.448904005,2.137665409,0.674938479,0.43775837,-0.209497761,1.093454657,1.597552627,0.952533339
7.571973236,0.810235217,0.96991366,2.062534487,0.419647038,-0.875493246,1.388238588,-1.628907675,-1.585401836,-0.936188809,-1.735960876,-1.078435809,-1.232675818,0.431728846,2.050655479,0.647475345,0.437462447,-0.239621216,1.0336047,1.569390699,0.919951663
