Time,Subsystem #1|CTLs|Vars|VMrms1,Subsystem #1|CTLs|Vars|VSrms1,Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms10,Subsystem #1|CTLs|Vars|Vrms13,Subsystem #1|CTLs|Vars|Vrms16,Subsystem #1|CTLs|Vars|Vrms19,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms7
0.0129,7.570566878,79.67027027,7.564104033,7.339343483,7.326509564,7.359253609,7.394942933,7.375008886,7.380355325
0.01305,7.573297846,79.67181028,7.566973746,7.359086009,7.349514497,7.380615155,7.415346749,7.39431515,7.400225468
0.0132,7.575901024,79.67326638,7.569764048,7.378675255,7.372502241,7.401840574,7.435570212,7.413453747,7.419921715
0.01335,7.578338503,79.67460624,7.572434655,7.397848916,7.395168479,7.422646002,7.455345405,7.432169646,7.439180408
0.0135,7.580578516,79.67580544,7.574950832,7.416357324,7.417215029,7.442758637,7.474412575,7.450217445,7.457750079
0.01365,7.582584534,79.67672162,7.577272335,7.433963698,7.438358143,7.46192301,7.492528329,7.46736804,7.475395647
0.0138,7.584345998,79.67751068,7.579384991,7.450432173,7.458319614,7.47988353,7.509452691,7.483392618,7.491880144
0.01395,7.585831956,79.6780677,7.581253091,7.465548193,7.476840568,7.496407466,7.524966795,7.498084063,7.506991295
0.0141,7.587030799,79.67847643,7.582860227,7.479142296,7.493709687,7.511310531,7.538896798,7.51127981,7.520560025
0.01425,7.587922153,79.67877329,7.584180767,7.491012326,7.508679898,7.524369303,7.551032881,7.522778597,7.532381256
0.0144,7.588499033,79.67898177,7.585202223,7.501037039,7.521587229,7.535445682,7.561249334,7.532461095,7.542334251
0.01455,7.588754054,79.67910992,7.585911529,7.509082018,7.532270578,7.544397494,7.569412462,7.540201056,7.550287782
0.0147,7.58868339,79.67915748,7.586299016,7.515030582,7.540583426,7.551098899,7.575405163,7.545887889,7.556126077
0.01485,7.588295667,79.67911964,7.58636742,7.518837524,7.546450272,7.555495103,7.579180695,7.549476928,7.559805125
0.015,7.587587748,79.67891076,7.586107762,7.520437997,7.54978633,7.557517988,7.580678551,7.550908996,7.561265002
0.01515,7.586571789,79.67859386,7.58552644,7.51981073,7.550544761,7.557138176,7.579875562,7.550162924,7.560483295
0.0153,7.585261877,79.67817458,7.584631955,7.516991504,7.548745428,7.554388809,7.576810028,7.547272595,7.557495422
0.01545,7.583667888,79.67764205,7.583428869,7.51201391,7.54440758,7.549300532,7.571516006,7.542270855,7.552336781
0.0156,7.581806041,79.67698986,7.581928409,7.504928862,7.537573985,7.541925907,7.564048013,7.535210019,7.545059516
0.01575,7.579704169,79.6762105,7.580153792,7.495858525,7.528359807,7.53238709,7.554531601,7.526209308,7.535786781
0.0159,7.577390324,79.67529613,7.578128913,7.484903771,7.516870154,7.520793733,7.54307719,7.515370523,7.524624013
0.01605,7.574897134,79.67424246,7.575882726,7.472199943,7.503245119,7.507287992,7.529823948,7.502828356,7.511709057
0.0162,7.572261301,79.67305098,7.573448785,7.457924759,7.487681069,7.492061602,7.514962252,7.488761655,7.497226769
0.01635,7.569514216,79.6717313,7.570855924,7.442247,7.470365711,7.475298229,7.498669939,7.473339024,7.48135013
0.0165,7.566672612,79.67015589,7.568118752,7.425348432,7.451504459,7.457195064,7.481138693,7.456742082,7.464264855
0.01665,7.563787207,79.66850396,7.565286992,7.40748351,7.431375935,7.438022698,7.462630093,7.439219263,7.446226327
0.0168,7.560888101,79.66679617,7.562389984,7.388846289,7.410195496,7.417983764,7.443340914,7.420956655,7.427428849
0.01695,7.558022014,79.66511139,7.559474453,7.36969212,7.388244466,7.397348128,7.423534327,7.402201305,7.408127158
0.0171,7.555232891,79.66350626,7.556584977,7.350271358,7.365805372,7.376382219,7.403465904,7.383197494,7.388571219
0.01725,7.552558523,79.66202119,7.553760611,7.330810807,7.343142875,7.355331959,7.383369241,7.364167866,7.368989594
0.0174,7.55003733,79.66068117,7.551041673,7.311574324,7.320552739,7.334476725,7.363514393,7.345368374,7.349645504
0.01755,7.547696646,79.65949996,7.54845802,7.292792099,7.298311285,7.31407128,7.344141442,7.327026125,7.330773832
0.0177,7.545560665,79.65846145,7.546036945,7.274693453,7.276694302,7.29436856,7.325490524,7.309367849,7.312606529
