Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms5,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.535944386,7.21188621,7.212342898,7.173749979,7.146486768,7.182561982,7.222448498
7.536689024,7.213721577,7.214240748,7.175480031,7.146981951,7.184130327,7.224394962
7.537730878,7.21769023,7.218333827,7.179392482,7.150056596,7.188073852,7.228595893
7.539064763,7.223757739,7.224587421,7.18545441,7.155687304,7.194358366,7.235016364
7.540679714,7.231855474,7.232931513,7.193600448,7.163812184,7.202912612,7.243583387
7.54255885,7.241880724,7.24325811,7.20372606,7.174325354,7.21362622,7.254185051
7.544679243,7.253710136,7.25544331,7.215710147,7.187098436,7.226367844,7.26669548
7.547012677,7.267191751,7.269328674,7.229395557,7.201966944,7.240972298,7.280950551
7.549529357,7.282159569,7.284745467,7.244617318,7.218745941,7.257259436,7.296777054
7.552189332,7.298417127,7.301488827,7.261172071,7.237213365,7.275013536,7.313965831
7.554964069,7.315751265,7.319339561,7.278840672,7.257127036,7.294001692,7.332291218
7.557821409,7.333941203,7.338071183,7.297398547,7.27823378,7.313981866,7.351520167
7.560725769,7.352757595,7.35744523,7.316609207,7.300262706,7.334701124,7.371408632
7.563635771,7.371939475,7.377193206,7.336205014,7.322911981,7.355872216,7.391681161
7.566513967,7.39124465,7.397067069,7.355943629,7.345893321,7.377227946,7.412082932
7.569320116,7.41042496,7.416810095,7.375570507,7.368907617,7.398491514,7.432349884
7.572013118,7.42921744,7.436151824,7.394819126,7.391643001,7.419375241,7.452205777
7.574557417,7.447388434,7.454850529,7.413447962,7.413812842,7.43961602,7.471401791
7.576912448,7.464694926,7.47265809,7.431211765,7.435121775,7.458945434,7.48968302
7.579058206,7.480910447,7.48934104,7.447875536,7.45528876,7.477108267,7.506808527
7.580963753,7.495830062,7.504688051,7.463227796,7.474061808,7.493878152,7.522561979
7.582610801,7.509274875,7.518514139,7.477081417,7.4912118,7.509051443,7.536754808
7.58397717,7.521051793,7.530620472,7.48923449,7.506500585,7.522414987,7.549182906
7.585049986,7.531038609,7.54088186,7.499562466,7.519762321,7.533825885,7.559718019
7.585812228,7.539093647,7.549153224,7.507921917,7.530814772,7.543125097,7.568211183
7.58625462,7.545116727,7.555333431,7.514208066,7.539521523,7.550198367,7.57455658
7.586375568,7.549046671,7.559358878,7.518360666,7.545786638,7.554970135,7.578691004
7.586168619,7.550825306,7.561171233,7.52031782,7.549527592,7.557374768,7.580553631
7.585633885,7.550429371,7.560746151,7.520053349,7.550699403,7.557381403,7.580120273
7.584784697,7.547880373,7.558106318,7.517587626,7.549304651,7.555008483,7.577414661
7.583627141,7.543210952,7.553286351,7.512952899,7.545363355,7.550286492,7.572470756
7.582174165,7.536476672,7.54634337,7.506205215,7.538922493,7.543271392,7.565348587
7.580446293,7.527780001,7.537382568,7.497444877,7.530083219,7.534070825,7.556155173
7.578464076,7.51721652,7.526503629,7.486768876,7.518940222,7.522786281,7.544993122
7.576256178,7.504940672,7.513863874,7.474332374,7.505656146,7.509580977,7.532023922
7.57384956,7.491101025,7.499615349,7.460283421,7.490389382,7.49461361,7.517404279
7.571274713,7.475874742,7.48394091,7.444802803,7.473337124,7.478076388,7.501320024
7.568553224,7.459450933,7.467036537,7.428086556,7.454709924,7.460174195,7.483972627
7.565729252,7.442054759,7.44913317,7.410362083,7.434758586,7.441150277,7.465598832
7.562837748,7.423884566,7.430434212,7.391830959,7.413712587,7.421221891,7.44640825
7.559924674,7.405187333,7.4111947,7.372745509,7.391855582,7.40065929,7.426661754
7.557031481,7.386197684,7.391654882,7.353346778,7.369459322,7.379718109,7.406606298
7.554197148,7.367151784,7.372056697,7.333871097,7.346799864,7.35865816,7.38648943
7.551457988,7.348290479,7.35264893,7.314568174,7.324165327,7.337746193,7.366566588
7.548846526,7.329845986,7.333670467,7.295674604,7.301832627,7.317237739,7.347082609
7.54639582,7.312061623,7.315372163,7.277441208,7.280093462,7.297404405,7.328295713
