Time,Subsystem #1|CTLs|Vars|G1POUT,Subsystem #1|CTLs|Vars|G1QOUT,Subsystem #1|CTLs|Vars|PCAP1,Subsystem #1|CTLs|Vars|PI1,Subsystem #1|CTLs|Vars|PI2,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI4,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI6,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|PLOAD1,Subsystem #1|CTLs|Vars|PLOAD2,Subsystem #1|CTLs|Vars|PLOAD3,Subsystem #1|CTLs|Vars|PLOAD4,Subsystem #1|CTLs|Vars|QCAP1,Subsystem #1|CTLs|Vars|QI1,Subsystem #1|CTLs|Vars|QI2,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI4,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI6,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|QLOAD1,Subsystem #1|CTLs|Vars|QLOAD2,Subsystem #1|CTLs|Vars|QLOAD3,Subsystem #1|CTLs|Vars|QLOAD4,Subsystem #1|CTLs|Vars|Qmeas8,Subsystem #1|Machines|M1|PMACH1,Subsystem #1|Machines|M1|QMACH1
0.00495,1.990667341,-0.566953089,0,-1.343481252,-0.980541636,0.799624214,-0.892446098,0.992667277,-1.093000081,2.044858871,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.421316483,-0.432189293,-0.893953117,-0.359000017,1.327018836,0.650615783,0.322235011,0.423212241,0.432189293,0.001895759,3.044481141,1.655834919
0.0051,1.990601428,-0.562516052,0,-1.343481252,-0.980541636,0.799861254,-0.892446098,0.992601363,-1.09300008,2.048091236,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.420628487,-0.432189293,-0.88951608,-0.359000017,1.328748061,0.650615783,0.322235011,0.423212241,0.432189293,0.002583755,3.047683552,1.657755267
0.00525,1.99036344,-0.558227911,0,-1.343481252,-0.980541636,0.800167408,-0.892446098,0.992363373,-1.093000079,2.051253213,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.41997284,-0.432189293,-0.885227939,-0.359000016,1.330853498,0.650615783,0.322235011,0.423212241,0.432189293,0.003239402,3.050794702,1.660039146
0.0054,1.989955137,-0.554143394,0,-1.343481252,-0.980541636,0.800538841,-0.892446098,0.991955069,-1.093000077,2.054303357,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.419358111,-0.432189293,-0.881143423,-0.359000016,1.333308548,0.650615783,0.322235011,0.423212241,0.432189293,0.00385413,3.053773815,1.662657451
0.00555,1.989380501,-0.550315087,0,-1.343481252,-0.980541636,0.800970864,-0.892446098,0.991380433,-1.093000076,2.057201639,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.418792379,-0.432189292,-0.877315116,-0.359000015,1.336081732,0.650615783,0.322235011,0.423212241,0.432189292,0.004419863,3.05658171,1.665576697
0.0057,1.988645984,-0.546792073,0,-1.343481252,-0.980541636,0.801457988,-0.892446098,0.990645915,-1.093000074,2.059909941,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.41828309,-0.432189292,-0.873792102,-0.359000015,1.339137621,0.650615783,0.322235011,0.423212241,0.432189292,0.004929151,3.059181472,1.6687593
0.00585,1.987760032,-0.543619889,0,-1.343481252,-0.980541636,0.801994001,-0.892446098,0.989759962,-1.093000072,2.062392599,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.417836945,-0.432189292,-0.870619919,-0.359000014,1.342436721,0.650615783,0.322235011,0.423212241,0.432189292,0.005375296,3.061538852,1.67216423
0.006,1.986733212,-0.54083961,0,-1.343481252,-0.980541636,0.802572047,-0.892446098,0.988733141,-1.09300007,2.064616932,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.41745979,-0.432189292,-0.86783964,-0.359000014,1.345936412,0.650615783,0.322235011,0.423212241,0.432189292,0.005752451,3.063622769,1.675747372
0.00615,1.985578027,-0.538487277,0,-1.343481252,-0.980541636,0.803184715,-0.892446098,0.987577956,-1.093000068,2.066553594,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.417156537,-0.432189292,-0.865487307,-0.359000013,1.349591399,0.650615783,0.322235011,0.423212241,0.432189292,0.006055704,3.065405764,1.679462313
0.0063,1.984308679,-0.536593563,0,-1.343481252,-0.980541636,0.803824137,-0.892446098,0.986308608,-1.093000066,2.068177031,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.416931099,-0.432189292,-0.863593593,-0.359000012,1.353354279,0.650615783,0.322235011,0.423212241,0.432189292,0.006281142,3.066864281,1.683260923
0.00645,1.982940919,-0.535183271,0,-1.343481252,-0.980541636,0.804482092,-0.892446098,0.984940848,-1.093000064,2.069465816,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.416786343,-0.432189292,-0.862183302,-0.359000012,1.35717628,0.650615783,0.322235011,0.423212241,0.432189292,0.006425898,3.067979038,1.687093948
0.0066,1.981491825,-0.534274947,0,-1.343481252,-0.980541636,0.80515011,-0.892446098,0.983491753,-1.093000061,2.07040288,1.343481252,0.980541636,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.416724067,-0.432189292,-0.861274977,-0.359000011,1.361007917,0.650615783,0.322235011,0.423212241,0.432189292,0.006488174,3.068735279,1.690911771
0.00675,1.979979502,-0.533880717,0,-1.343481252,-0.980541635,0.80581958,-0.892446098,0.98197943,-1.093000058,2.070975775,1.343481252,0.980541635,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.41674499,-0.432189292,-0.860880748,-0.35900001,1.364799601,0.650615783,0.322235011,0.423212241,0.432189292,0.006467252,3.069122903,1.694665061
0.0069,1.978422851,-0.534006053,0,-1.343481252,-0.980541635,0.806481857,-0.892446098,0.98042278,-1.093000056,2.07117682,1.343481252,0.980541635,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.416848747,-0.432189292,-0.861006083,-0.359000009,1.368502378,0.650615783,0.322235011,0.423212241,0.432189292,0.006363494,3.069136634,1.698305403
0.00705,1.976841312,-0.534649638,0,-1.343481252,-0.980541635,0.807128377,-0.892446098,0.978841241,-1.093000053,2.07100316,1.343481252,0.980541635,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.417033908,-0.432189292,-0.861649668,-0.359000008,1.372068579,0.650615783,0.322235011,0.423212241,0.432189292,0.006178333,3.068776075,1.701785995
0.0072,1.975254547,-0.535803446,0,-1.343481252,-0.980541635,0.807750768,-0.892446098,0.977254475,-1.09300005,2.070456816,1.343481252,0.980541635,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.417297992,-0.432189292,-0.862803476,-0.359000007,1.375452416,0.650615783,0.322235011,0.423212241,0.432189292,0.005914249,3.06804565,1.70506224
0.00735,1.973682181,-0.537452813,0,-1.343481252,-0.980541635,0.808340964,-0.892446098,0.975682109,-1.093000046,2.069544626,1.343481252,0.980541635,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.417637501,-0.432189292,-0.864452843,-0.359000006,1.378610606,0.650615783,0.322235011,0.423212241,0.432189292,0.00557474,3.066954561,1.708092319
0.0075,1.972143548,-0.539576595,0,-1.343481252,-0.980541635,0.808891316,-0.892446098,0.974143477,-1.093000043,2.068278116,1.343481252,0.980541635,0.873908995,0.892446098,0,-0.650615783,-0.322235011,0.418047963,-0.432189292,-0.866576625,-0.359000005,1.381502936,0.650615783,0.322235011,0.423212241,0.432189292,0.005164278,3.065516637,1.71083772
0.00765,1.970657433,-0.542147513,0,-1.343481252,-0.980541635,0.809394695,-0.892446098,0.972657363,-1.09300004,2.066673348,1.343481252,0.980541635,0.873908994,0.892446098,0,-0.650615783,-0.322235011,0.418523991,-0.432189292,-0.869147543,-0.359000004,1.38409274,0.650615783,0.322235011,0.423212241,0.432189292,0.00468825,3.063750113,1.713263749
0.0078,1.969241835,-0.545132522,0,-1.343481252,-0.980541635,0.809844594,-0.892446098,0.971241765,-1.093000036,2.064750686,1.343481252,0.980541635,0.873908994,0.892446098,0,-0.650615783,-0.322235011,0.419059349,-0.432189292,-0.872132551,-0.359000002,1.386347369,0.650615783,0.322235011,0.423212241,0.432189292,0.004152892,3.061677391,1.715339917
0.00795,1.967913729,-0.548493217,0,-1.343481252,-0.980541635,0.810235217,-0.892446098,0.96991366,-1.093000032,2.062534487,1.343481252,0.980541635,0.873908994,0.892446098,0,-0.650615783,-0.322235011,0.419647038,-0.432189292,-0.875493246,-0.359000001,1.388238588,0.650615783,0.322235011,0.423212241,0.432189292,0.003565204,3.059324722,1.717040302
0.0081,1.966688912,-0.552186424,0,-1.343481252,-0.980541635,0.810561559,-0.892446098,0.968688844,-1.093000029,2.060052799,1.343481252,0.980541635,0.873908994,0.892446098,0,-0.650615783,-0.322235011,0.420279389,-0.432189292,-0.879186453,-0.359,1.389742892,0.650615783,0.322235011,0.423212241,0.432189292,0.002932852,3.056721851,1.718343861
0.00825,1.965581655,-0.556164917,0,-1.343481252,-0.980541635,0.810819468,-0.892446098,0.967581588,-1.093000025,2.057336987,1.343481252,0.980541635,0.873908994,0.892446098,0,-0.650615783,-0.322235011,0.420948185,-0.432189292,-0.883164946,-0.358999999,1.390841665,0.650615783,0.322235011,0.423212241,0.432189292,0.002264057,3.053901639,1.719234513
0.0084,1.964604827,-0.560377748,0,-1.343481252,-0.980541635,0.811005692,-0.892446097,0.96660476,-1.093000021,2.05442125,1.343481252,0.980541635,0.873908994,0.892446097,0,-0.650615783,-0.322235011,0.421644785,-0.432189292,-0.887377776,-0.358999997,1.391521578,0.650615783,0.322235011,0.423212241,0.432189292,0.001567456,3.050899559,1.719701656
0.00855,1.963769508,-0.564771142,0,-1.343481252,-0.980541635,0.811117925,-0.892446097,0.965769442,-1.093000016,2.051342273,1.343481252,0.980541635,0.873908994,0.892446097,0,-0.650615783,-0.322235011,0.422360212,-0.432189292,-0.89177117,-0.358999996,1.39177458,0.650615783,0.322235011,0.423212241,0.432189292,8.52E-04,3.047753322,1.719739887
0.0087,1.963085034,-0.569289033,0,-1.343481252,-0.980541635,0.811154831,-0.892446097,0.965084969,-1.093000012,2.048138672,1.343481252,0.980541635,0.873908994,0.892446097,0,-0.650615783,-0.322235011,0.423085268,-0.432189292,-0.896289061,-0.358999995,1.391598051,0.650615783,0.322235011,0.423212241,0.432189292,1.27E-04,3.04450238,1.71934924
0.00885,1.962558767,-0.573874031,0,-1.343481252,-0.980541635,0.811116056,-0.892446097,0.964558704,-1.093000008,2.044850557,1.343481252,0.980541635,0.873908994,0.892446097,0,-0.650615783,-0.322235011,0.423810657,-0.432189292,-0.900874059,-0.358999993,1.390994656,0.650615783,0.322235011,0.423212241,0.432189292,-5.98E-04,3.041187378,1.718535092
0.009,1.962196132,-0.578468094,0,-1.343481252,-0.980541634,0.81100223,-0.892446097,0.96419607,-1.093000003,2.041519033,1.343481252,0.980541634,0.873908994,0.892446097,0,-0.650615783,-0.322235011,0.424527096,-0.432189292,-0.905468121,-0.358999992,1.389972382,0.650615783,0.322235011,0.423212241,0.432189292,-0.001314855,3.037849704,1.717307994
0.00915,1.962000579,-0.583013228,0,-1.343481252,-0.980541634,0.810814949,-0.892446097,0.964000518,-1.092999999,2.03818564,1.343481252,0.980541634,0.873908994,0.892446097,0,-0.650615783,-0.322235011,0.425225445,-0.432189292,-0.910013255,-0.35899999,1.388544374,0.650615783,0.322235011,0.423212241,0.432189292,-0.002013204,3.034530969,1.715683576
0.0093,1.961973506,-0.587452413,0,-1.343481252,-0.980541634,0.810556746,-0.892446097,0.963973447,-1.092999994,2.03489189,1.343481252,0.980541634,0.873908994,0.892446097,0,-0.650615783,-0.322235011,0.425896832,-0.432189292,-0.914452439,-0.358999989,1.386728687,0.650615783,0.322235011,0.423212241,0.432189292,-0.002684591,3.031272455,1.713682312
