"Time","Subsystem #1|CTLs|Vars|VMrms1","Subsystem #1|CTLs|Vars|VSrms1","Subsystem #1|CTLs|Vars|Vrms1","Subsystem #1|CTLs|Vars|Vrms10","Subsystem #1|CTLs|Vars|Vrms13","Subsystem #1|CTLs|Vars|Vrms16","Subsystem #1|CTLs|Vars|Vrms19","Subsystem #1|CTLs|Vars|Vrms4","Subsystem #1|CTLs|Vars|Vrms7"
0.2454,7.623259019,79.69770696,5.536769969,5.655126622,5.613582694,5.647754129,5.712426976,5.657040657,5.684468261
0.24555,7.623242162,79.69753098,5.537575795,5.65839951,5.614648379,5.650701184,5.716779267,5.66030921,5.688300613
0.2457,7.62321685,79.69726642,5.54578358,5.669010565,5.623686384,5.661368861,5.72864654,5.67113849,5.6996482
0.24585,7.623185884,79.69694284,5.561891075,5.687345912,5.640961977,5.680032038,5.748281451,5.689838373,5.718800794
0.246,7.62315552,79.69662562,5.584554047,5.712582971,5.665748741,5.705938747,5.774806579,5.715515599,5.744865048
0.24615,7.623130306,79.6963623,5.614303601,5.745144312,5.698167589,5.73923766,5.808524252,5.748467861,5.778170496
0.2463,7.623112902,79.69618063,5.651271351,5.784601767,5.737787792,5.77950414,5.84897187,5.788286022,5.818274751
0.24645,7.623104309,79.69609108,5.693999807,5.829864404,5.78370614,5.825801792,5.895133033,5.833920005,5.864131326
0.2466,7.623104419,79.69609251,5.742675854,5.881176793,5.836009803,5.878233893,5.9472372,5.885613586,5.915993132
0.24675,7.623112557,79.69617784,5.796761099,5.937748061,5.894060727,5.936153255,6.004548178,5.942674531,5.973128767
0.2469,7.623118612,79.6962412,5.854767799,5.998151147,5.956640435,5.998299844,6.065756418,6.003745067,6.034188843
0.24705,7.623131911,79.69638046,5.917236955,6.062349015,6.02345425,6.064419953,6.13074497,6.06874971,6.099093307
0.2472,7.623150395,79.69657388,5.982952836,6.129489288,6.093640521,6.133654258,6.198603183,6.136773096,6.166931041
0.24735,7.623172332,79.69680336,6.049889307,6.1982814,6.165896201,6.204672776,6.268011532,6.206417495,6.236354448
0.2475,7.623195813,79.69704895,6.118915859,6.268694539,6.239876846,6.277209323,6.338813196,6.277606732,6.307256686
